FMA		name		color group
7433	:	Lingula of left lung	|	01_AIRLY
27360	:	Lung parenchyma	|	01_AIRLY
58127	:	Region of lung parenchyma	|	01_AIRLY
86149	:	Zone of lung	|	01_AIRLY
5900	:	Vascular plexus	|	02_ARTERY
30313	:	Arterial trunk	|	02_ARTERY
45633	:	Capillary plexus	|	02_ARTERY
45840	:	Arterial tree organ	|	02_ARTERY
63812	:	set of arteries	|	02_ARTERY
66332	:	Zone of artery	|	02_ARTERY
86187	:	Arborial segment of arterial tree organ	|	02_ARTERY
86198	:	Region of wall of arterial tree organ	|	02_ARTERY
86256	:	Segment of arterial trunk	|	02_ARTERY
87207	:	Zone of arterial trunk	|	02_ARTERY
265400	:	Region of vascular layer of eyeball	|	02_ARTERY
321816	:	Zone of systemic arterial tree	|	02_ARTERY
3728	:	Arterial anastomosis	|	02_ARTERY
5018	:	Bone organ	|	03_BONE
10483	:	Zone of bone organ	|	03_BONE
12516	:	Tooth	|	03_BONE
34781	:	Navicular bone proper	|	03_BONE
35512	:	Distal epiphysis proper of radius	|	03_BONE
45733	:	neck of organ	|	03_BONE
55622	:	Segment of tooth	|	03_BONE
57492	:	Region of crown of tooth	|	03_BONE
65522	:	Region of surface layer of tooth	|	03_BONE
66080	:	region of surface of bone organ	|	03_BONE
82508	:	bone spine	|	03_BONE
85296	:	Scaphoid proper	|	03_BONE
86143	:	Segment of vertebra	|	03_BONE
232791	:	Cuboid bone proper	|	03_BONE
281808	:	Segment of bone organ	|	03_BONE
296493	:	Zone of glenoid labrum	|	03_BONE
302036	:	Region of bony part of bone	|	03_BONE
327651	:	Zone of tooth	|	03_BONE
7393	:	Tracheobronchial tree	|	04_CARTILAGE
7465	:	Carina of trachea	|	04_CARTILAGE
7538	:	Cartilage organ component	|	04_CARTILAGE
26659	:	Segment of trachea	|	04_CARTILAGE
27423	:	Region of bronchus	|	04_CARTILAGE
55107	:	Cartilage organ	|	04_CARTILAGE
55293	:	Segment of thyroid cartilage	|	04_CARTILAGE
55312	:	Zone of cricoid cartilage	|	04_CARTILAGE
59543	:	Segment of major alar cartilage	|	04_CARTILAGE
61196	:	Zone of cartilage of external ear	|	04_CARTILAGE
64135	:	Zone of arytenoid cartilage	|	04_CARTILAGE
66082	:	Zone of costal cartilage	|	04_CARTILAGE
66245	:	Corniculate cartilage proper	|	04_CARTILAGE
66248	:	Cuneiform cartilage proper	|	04_CARTILAGE
66251	:	Epiglottic cartilage proper	|	04_CARTILAGE
71500	:	set of cartilage	|	04_CARTILAGE
75444	:	Cartilaginous component	|	04_CARTILAGE
