FENESIS_ID	FENESIS_Name_English	FENESIS_Name_latin	FENESIS_description	FMA_Info
184.1	Pericardium 		 Enveloping and gliding system of the heart comprising two layers, one of fibrous tissue and the other of bilayered serous tissue.  //	FMA9869:Pericardium
184.2	Fibrous pericardium	Pericardium fibrosum	 Tough, external, connective tissue layer of the pericardium.  It is partially fused with the diaphragm //	FMA9586:Fibrous pericardium
184.4	Serous pericardium	Pericardium serosum	 Layer of simple squamous epithelium (mesothelium) which lines the fibrous pericardium (parietal layer) and covers the surface of the heart (visceral layer).  Its visceral and parietal layers become continuous in the region of the great vessels //	FMA9582:Serous pericardium
184.5	Parietal layer	Lamina parietalis	 Serous layerof the pericardium.  It lines the fibrous pericardium //	FMA9870:Parietal serous pericardium
184.6	Visceral layer	Lamina visceralis [epicardium]	 Serous layer covering the surface of the heart (epicardium).  It consists of mesothelium and a fibrous lamina propria //	FMA84882:Visceral serous pericardium
184.7	Pericardial cavity	Cavitas pericardialis	 Space between the parietal and visceral layers of the serous pericardium.  It contains a film of serous fluid //	FMA11350:Pericardial cavity
184.8	Transverse sinus of pericardium	Sinus transversus pericardii	 Narrow passage in the pericardial space behind the aorta and pulmonary trunk and in front of the veins.  //	FMA77132:Transverse pericardial sinus
184.9	Oblique sinus of pericardium	Sinus obliquus pericardii	 Recess in the pericardial space that extends between the right pulmonary veins and inferior cava and between the right and left pulmonary veins.  //	FMA77133:Oblique pericardial sinus
184.10	HEART	Cor	  //	FMA7088:Heart
184.11	Base of heart	Basis cordis	 Dorsally directed upper, broad surface of the nearly cone-shaped heart lying opposite to the apex.  It is formed mainly by the posterior wall of the left atrium. //	FMA223286:Basal zone of heart; FMA45685:Base of heart (clinical)
184.12	Sternocostal surface	Facies sternocostalis [anterior]	 Anteriorly directed convex surface of the heart. B  //	FMA7140:Sternocostal surface of heart
184.13	Diaphragmatic surface	Facies diaphragmatica [inferior]	 Inferior surface of heart that touches the diaphragm.  //	FMA7141:Diaphragmatic surface of heart
184.14	Pulmonary surface	Facies pulmonalis	 Lateral surface of heart that lies in contact with the lungs.  //	FMA7169:Left surface of heart
184.15	Right margin	Margo dexter	 Right margin of the heart.  It is often sharp-edged in the cadaver. //	FMA7173:Inferior border of heart
184.16	Apex cordis 		 Apex of heart directed forward, toward the left and downward.  //	FMA7164:Apex of heart
184.17	Incisure of apex of heart 		 Incisura apicis cordis. Notch on the right near the apex of the heart at the site where the longitudinal interventricular grooves become continuous.  //	FMA74524:Anterior cerebellar incisure; FMA75036:Notch
184.18	Anterior interventricular groove	Sulcus interventricularis anterior	 Longitudinal groove on the anterior heart surface above the interventricular septum; it contains the anterior interventricular branch of the left coronary artery. B  //	FMA7177:Anterior interventricular sulcus
184.19	Posterior interventricular groove	Sulcus interventricularis posterior	 Longitudinal groove on the diaphragmatic surface of the heart marking the position of the interventricular septum; it contains the posterior interventricular branch of the right coronary artery.  //	FMA7178:Posterior interventricular sulcus
184.20	Coronary (atrioventricular) groove	Sulcus coronarius	 Groove that courses around the heart marking the atrioventricular boundary.  //	FMA7174:Coronary sulcus
184.21	Right and left ventricle of heart	Ventriculus [dextersinister] cordis	 Due to functional requirements, the left ventricular wall is thicker than the right.  //	FMA7101:Left ventricle
184.22	Interventricular septum	Septum interventriculare	 Partition between the right and left ventricle marked externally by the anterior and posterior interventricular grooves  //	FMA7133:Interventricular septum
184.23	Pars muscularis of Interventricular septum 		 Muscular part of the interventricular septum; by far the largest and thickest part.  //	FMA7134:Muscular part of interventricular septum
184.24	Pars membranacea of Interventricular septum 		 Membranous part of the interventricular septum. Located superiorly at the exit of the aorta.  It is the shortest, thinnest and most fibrous part of the interventricular septum and arises from the endocardium. //	FMA13261:Membranous part of interatrial septum
184.25	Atrioventricular septum	Septum atrioventriculare	 Portion of the membranous part of the interventricular septum between the right atrium and left ventricle above the root of the septal cusp.  //	FMA7136:Atrioventricular septum
184.26	Right and left atrium of heart	Atrium [dextrum et sinistrum] cordis	 Thin-walled chambers.  //	FMA7097:Left atrium
184.27	Auricle of atrium	Auricula atrialis	 Finger-like diverticulum of the right and left atrium. B  //	FMA77110:Auricle of heart
184.28	Interatrial septum	Septum interatriale	 Partition between the right and left atrium.  //	FMA7108:Interatrial septum
184.29	Ostium atrioventriculare (dextra et sinistra) 		 Atrioventricular opening (right/left) between the atrium and ventricle.  //	FMA13881:Orifice of atrioventricular junction
184.31	Ostium of aorta	Ostium aortae	 Opening between the left ventricle and aorta. C DTrabeculae carneae. Muscular cords projecting into the lumen of the heart.  //	FMA9350:Ostium of aorta
186.1	Trabeculae carneae 		 Muscular cords projecting into the lumen of the heart.  //	FMA7270:Trabecula carnea of right ventricle
186.4	Chordae tendineae 		 Tendinous filaments between the papillary muscles and the atrioventricular valve. A  //	FMA12225:Chorda tendinea
186.5	Right and left fibrous trigone	Trigonum fibrosum dextrum et sinistrum	 Connective tissue wedge between the aorta and the atrioventricular opening anteriorly and posteriorly.  //	FMA9505 AND FMA9508
186.6	Right and left fibrous ring	Anulus fibrosus dextersinister	 Fibrous rings between the atria and ventricles that give attachment to the atrioventricular valves.  //	FMA77125: AND FMA77124:Right fibrous ring of heart
186.7	Myocardium 		 Transversely striated heart muscle fibers with intercalated discs including the impulse-conducting system. A  //	FMA9462:Myocardium
186.12	Crus (dextrum et sinistrum) 		 Right/left crus of the impulse-conducting system which extends right and left into the interventricular septum as far as the papillary muscles where they both ramify.  //	FMA9486: AND FMA9487:
186.13	Endocardium 		 Internal serous lining of theheart containing simple squamous epithelium (endothelium)  //	FMA7280:Endocardium
186.18	Sinus venarum cavarum 		 Smooth-walledspace for blood from both venae cavae.  It is bounded by the terminal crest. //	FMA13246:Cavity of inflow part of right atrium
186.19	Fossa ovalis 		 Depression in the interatrial septum caused by the fetal foramen ovale.  //	FMA9246:Fossa ovalis
186.21	[Foramen ovale] 		 Embryological opening in theinteratrial septum that is present until birth.  //	FMA53155:Foramen ovale
186.28	Foramina venarum minimarum 		 Numerousopenings of small veins [vv. Thebesii minimae] which convey blood from the tissues of the heart directly into the right atrium or other heart spaces.  //	FMA76592:Set of openings of smallest cardiac veins
188.1	Right ventricle	Ventriculus dexter	  //	FMA7098:Right ventricle
188.5	Posterior cusp	Cuspis posterior	  //	FMA7239:Posterior leaflet of tricuspid valve
188.7	Supraventricular crest	Crista supraventricularis	 Muscular ridge which separates the conus arteriosus from the rest of the ventricle.  //	FMA9293:Supraventricular crest
188.8	Conus arteriosus [infundibulum] 		 Funnelshaped, smooth-walled outflow tract in front of the opening into the pulmonary trunk.  It represents the embryonic bulbus cordis. //	FMA7216:Outflow part of right ventricle
188.14	Nodules of semilunar cusps	Noduli valvularumsemilunarium	 Small thickenings in the middle of each free margin of the semilunar cusps that seal the wedge-like space between the three cusps when closed.  //	FMA9356:Nodulus of cusp of pulmonary valve
