#Model:BodyParts3D
#Version:4.0
#Tree:is_a
#FJID	BPID	FMA_ID	FMA_Name
FJ1383M	BP9161	FMA37718	First lumbrical of left foot
FJ1384M	BP9251	FMA37746	First plantar interosseous of left foot
FJ1385M	BP8179	FMA37720	Second lumbrical of left foot
FJ1386M	BP8916	FMA37744	Second plantar interosseous of left foot
FJ1387M	BP8902	FMA37486	Third lumbrical of left foot
FJ1388M	BP9175	FMA37742	Third plantar interosseous of left foot
FJ1389M	BP8943	FMA37484	Fourth lumbrical of left foot
FJ1390M	BP9182	FMA37464	Abductor digiti minimi of left foot
FJ1391M	BP8065	FMA37472	Flexor digiti minimi brevis of left foot
FJ1392M	BP8481	FMA35193	Interosseous membrane of left leg
FJ1393M	BP8361	FMA45974	Lateral head of left flexor hallucis brevis
FJ1394M	BP7939	FMA45961	Lateral head of left gastrocnemius
FJ1395M	BP8331	FMA45889	Long head of left biceps femoris
FJ1396M	BP8945	FMA45972	Medial head of left flexor hallucis brevis
FJ1397M	BP9217	FMA45958	Medial head of left gastrocnemius
FJ1398M	BP8542	FMA46019	Oblique head of left adductor hallucis
FJ1399M	BP9018	FMA86035	Opponens digiti minimi of left foot
FJ1400M	BP9193	FMA37460	Left abductor hallucis
FJ1401M	BP9099	FMA22454	Left adductor brevis
FJ1402M	BP8604	FMA22457	Left adductor longus
FJ1403M	BP8972	FMA22460	Left adductor magnus
FJ1404M	BP8832	FMA43887	Left adductor minimus
FJ1405M	BP8739	FMA264844	Left calcaneal tendon
FJ1406M	BP8162	FMA22549	Left extensor digitorum longus
FJ1407M	BP8118	FMA51145	Left extensor hallucis brevis
FJ1408M	BP7858	FMA22547	Left extensor hallucis longus
FJ1409M	BP8977	FMA22555	Left fibularis brevis
FJ1410M	BP8846	FMA22553	Left fibularis longus
FJ1411M	BP9228	FMA22551	Left fibularis tertius
FJ1412M	BP8992	FMA37466	Left flexor accessorius
FJ1413M	BP9215	FMA37462	Left flexor digitorum brevis
FJ1414M	BP8888	FMA65017	Left flexor digitorum longus
FJ1415M	BP7949	FMA65015	Left flexor hallucis longus
FJ1416M	BP8454	FMA22337	Left gemellus inferior
FJ1417M	BP8028	FMA22335	Left gemellus superior
FJ1418M	BP8401	FMA22329	Left gluteus maximus
FJ1419M	BP9213	FMA22331	Left gluteus medius
FJ1420M	BP8623	FMA22333	Left gluteus minimus
FJ1421M	BP8926	FMA43884	Left gracilis
FJ1422M	BP8312	FMA22323	Left iliacus
FJ1423M	BP8856	FMA58777	Left iliotibial tract
FJ1424M	BP9273	FMA44250	Left long plantar ligament
FJ1425M	BP8506	FMA22327	Left obturator externus
FJ1426M	BP7986	FMA22325	Left obturator internus
FJ1427M	BP8998	FMA22451	Left pectineus
FJ1428M	BP8131	FMA22341	Left piriformis
FJ1429M	BP8852	FMA22561	Left plantaris
FJ1430M	BP9241	FMA22592	Left popliteus
FJ1431M	BP8373	FMA22343	Left psoas major
FJ1432M	BP8661	FMA22339	Left quadratus femoris
FJ1433M	BP8094	FMA38929	Left rectus femoris
FJ1434M	BP8876	FMA22355	Left sartorius
FJ1435M	BP7829	FMA22449	Left semimembranosus
FJ1436M	BP9066	FMA22359	Left semitendinosus
FJ1437M	BP8819	FMA22559	Left soleus
FJ1438M	BP9184	FMA22426	Left tensor fasciae latae
FJ1439M	BP8720	FMA22545	Left tibialis anterior
FJ1440M	BP9159	FMA65019	Left tibialis posterior
FJ1441M	BP9207	FMA38935	Left vastus intermedius
FJ1442M	BP8754	FMA38931	Left vastus lateralis
FJ1443M	BP9128	FMA38933	Left vastus medialis
FJ1444M	BP8616	FMA45892	Short head of left biceps femoris
FJ1445M	BP8394	FMA46021	Transverse head of left adductor hallucis
FJ1446M	BP7862	FMA45875	Abdominal part of left pectoralis major
FJ1447M	BP9095	FMA34691	Clavicular part of left pectoralis major
FJ1449M	BP9157	FMA46444	Left coccygeus
FJ1450M	BP8934	FMA21930	External anal sphincter
FJ1451M	BP8306	FMA9756	External intercostal muscle
FJ1452M	BP8154	FMA13337	Left external oblique
FJ1453M	BP8007	FMA45859	Left iliococcygeus
FJ1454M	BP9146	FMA9758	Innermost intercostal muscle
FJ1455M	BP8018	FMA9757	Internal intercostal muscle
FJ1456M	BP9038	FMA13376	Left pectoralis minor
FJ1457M	BP7791	FMA45855	Left pubococcygeus
FJ1458M	BP8228	FMA45857	Left puborectalis
FJ1459M	BP8760	FMA13399	Left serratus anterior
FJ1460M	BP8460	FMA13411	Left subclavius
FJ1461M	BP9030	FMA9762	Left transversus thoracis
FJ1462M	BP8675	FMA74078	Set of left levatores costarum breves
FJ1463M	BP8466	FMA74076	Set of left levatores costarum longi
FJ1464M	BP8323	FMA79980	Sternocostal part of left pectoralis major
FJ1465M	BP9016	FMA46442	Tendinous arch of levator ani
FJ1466M	BP8737	FMA37397	Abductor digiti minimi of left hand
FJ1467M	BP9075	FMA34683	Acromial part of left deltoid
FJ1468M	BP8259	FMA34681	Clavicular part of left deltoid
FJ1469M	BP8958	FMA37388	Right flexor pollicis brevis
FJ1470M	BP8516	FMA37399	Flexor digiti minimi brevis of left hand
FJ1471M	BP8058	FMA40121	Flexor retinaculum of left wrist
FJ1472M	BP7970	FMA38508	Left extensor carpi ulnaris
