#Model:BodyParts3D
#Version:4.0
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ1423M	BP10015	FMA58777	Left iliotibial tract
FJ1426M	BP9530	FMA22325	Left obturator internus
FJ1428M	BP9631	FMA22341	Left piriformis
FJ1431M	BP9727	FMA22343	Left psoas major
FJ1446M	BP9381	FMA45875	Abdominal part of left pectoralis major
FJ1450M	BP10061	FMA21930	External anal sphincter
FJ1452M	BP9643	FMA13337	Left external oblique
FJ1456M	BP10112	FMA13376	Left pectoralis minor
FJ1459M	BP9944	FMA13399	Left serratus anterior
FJ1460M	BP9782	FMA13411	Left subclavius
FJ1461M	BP10106	FMA9762	Left transversus thoracis
FJ1464M	BP9708	FMA79980	Sternocostal part of left pectoralis major
FJ1471M	BP9579	FMA40121	Flexor retinaculum of left wrist
FJ1485M	BP10075	FMA37706	Left anconeus
FJ1486M	BP9909	FMA37669	Left brachialis
FJ1488M	BP10120	FMA37666	Left coracobrachialis
FJ1532M	BP9939	FMA32541	Left levator scapulae
FJ1536M	BP10215	FMA13382	Left rhomboid major
FJ1537M	BP9861	FMA13384	Left rhomboid minor
FJ1654M	BP10243	FMA50030	Left anterior cerebral artery
FJ1656M	BP10073	FMA50544	Anterior inferior cerebellar artery
FJ1658M	BP9875	FMA50089	Left anterior choroidal artery
FJ1661M	BP10014	FMA50679	Anterior temporal branch of left lateral occipital artery
FJ1675M	BP10043	FMA50671	Left thalamogeniculate artery
FJ1677M	BP9900	FMA50685	Left splenial artery
FJ1678M	BP9900	FMA50685	Left splenial artery
FJ1680M	BP10104	FMA50681	Middle temporal branch of left lateral occipital artery
FJ1682M	BP9516	FMA4062	Left internal carotid artery
FJ1684M	BP10005	FMA50569	Lateral branch of left pontine artery
FJ1687M	BP9702	FMA50644	Left lateral occipital artery
FJ1689M	BP9706	FMA50567	Medial branch of left pontine artery
FJ1691M	BP9797	FMA50646	Left medial occipital artery
FJ1695M	BP10154	FMA49870	Left ophthalmic artery
FJ1700M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1701M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1702M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1703M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1704M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1705M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1706M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1707M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1708M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1709M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1710M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1711M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1713M	BP9658	FMA50086	Left posterior communicating artery
FJ1715M	BP9322	FMA50520	Left posterior inferior cerebellar artery
FJ1720M	BP9429	FMA50665	Left thalamoperforating artery
FJ1723M	BP9514	FMA50640	Precommunicating part of left posterior cerebral artery
FJ1725M	BP9323	FMA4066	Left vertebral artery
FJ1726M	BP10235	FMA50575	Left superior cerebellar artery
FJ1727M	BP10163	FMA50673	Left posterior medial choroidal artery
FJ1252	BP7409	FMA59763	Gingiva of upper jaw
FJ1253	BP7406	FMA59764	Gingiva of lower jaw
FJ1282	BP7121	FMA58082	Anterior chamber of left eyeball
FJ1285	BP7112	FMA58300	Left choroid
FJ1286	BP7112	FMA58300	Left choroid
FJ1289	BP7115	FMA58240	Left cornea
