#Model:BodyParts3D
#Version:4.1
#Tree:is_a
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14930	FMA55563	Left inferior parathyroid gland
FJ3674	BP14928	FMA55561	Left superior parathyroid gland
FJ3675	BP14931	FMA55562	Right inferior parathyroid gland
FJ3676	BP14929	FMA55560	Right superior parathyroid gland
FJ1383M	BP14726	FMA37718	First lumbrical of left foot
FJ1384M	BP10746	FMA37746	First plantar interosseous of left foot
FJ1385M	BP12195	FMA37720	Second lumbrical of left foot
FJ1386M	BP14614	FMA37744	Second plantar interosseous of left foot
FJ1387M	BP14606	FMA37486	Third lumbrical of left foot
FJ1388M	BP12786	FMA37742	Third plantar interosseous of left foot
FJ1389M	BP14626	FMA37484	Fourth lumbrical of left foot
FJ1390M	BP14740	FMA37464	Abductor digiti minimi of left foot
FJ1391M	BP12146	FMA37472	Flexor digiti minimi brevis of left foot
FJ1392M	BP12365	FMA35193	Interosseous membrane of left leg
FJ1393M	BP12286	FMA45974	Lateral head of left flexor hallucis brevis
FJ1394M	BP13243	FMA45961	Lateral head of left gastrocnemius
FJ1395M	BP13874	FMA45889	Long head of left biceps femoris
FJ1396M	BP14743	FMA45972	Medial head of left flexor hallucis brevis
FJ1397M	BP12807	FMA45958	Medial head of left gastrocnemius
FJ1398M	BP12412	FMA46019	Oblique head of left adductor hallucis
FJ1399M	BP14665	FMA86035	Opponens digiti minimi of left foot
FJ1400M	BP12795	FMA37460	Left abductor hallucis
FJ1401M	BP12760	FMA22454	Left adductor brevis
FJ1402M	BP13302	FMA22457	Left adductor longus
FJ1403M	BP12716	FMA22460	Left adductor magnus
FJ1404M	BP13497	FMA43887	Left adductor minimus
FJ1405M	BP12045	FMA264844	Left calcaneal tendon
FJ1406M	BP12186	FMA22549	Left extensor digitorum longus
FJ1407M	BP14454	FMA51145	Left extensor hallucis brevis
FJ1408M	BP14379	FMA22547	Left extensor hallucis longus
FJ1409M	BP12721	FMA22555	Left fibularis brevis
FJ1410M	BP12651	FMA22553	Left fibularis longus
FJ1411M	BP14769	FMA22551	Left fibularis tertius
FJ1412M	BP14646	FMA37466	Left flexor accessorius
FJ1413M	BP12805	FMA37462	Left flexor digitorum brevis
FJ1414M	BP12684	FMA65017	Left flexor digitorum longus
FJ1415M	BP14250	FMA65015	Left flexor hallucis longus
FJ1416M	BP12346	FMA22337	Left gemellus inferior
FJ1417M	BP12136	FMA22335	Left gemellus superior
FJ1418M	BP12310	FMA22329	Left gluteus maximus
FJ1419M	BP12803	FMA22331	Left gluteus medius
FJ1420M	BP10685	FMA22333	Left gluteus minimus
FJ1421M	BP12696	FMA43884	Left gracilis
FJ1422M	BP14505	FMA22323	Left iliacus
FJ1423M	BP12659	FMA58777	Left iliotibial tract
FJ1424M	BP12833	FMA44250	Left long plantar ligament
FJ1425M	BP14560	FMA22327	Left obturator externus
FJ1426M	BP14421	FMA22325	Left obturator internus
FJ1427M	BP12729	FMA22451	Left pectineus
FJ1428M	BP13774	FMA22341	Left piriformis
FJ1429M	BP12657	FMA22561	Left plantaris
FJ1430M	BP12822	FMA22592	Left popliteus
FJ1431M	BP13907	FMA22343	Left psoas major
