#Model:BodyParts3D
#Version:4.1
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14953	FMA55563	Left inferior parathyroid gland
FJ3674	BP14951	FMA55561	Left superior parathyroid gland
FJ3675	BP14955	FMA55562	Right inferior parathyroid gland
FJ3676	BP14952	FMA55560	Right superior parathyroid gland
FJ1423M	BP11023	FMA58777	Left iliotibial tract
FJ1426M	BP10748	FMA22325	Left obturator internus
FJ1428M	BP10817	FMA22341	Left piriformis
FJ1431M	BP10864	FMA22343	Left psoas major
FJ1446M	BP13843	FMA45875	Abdominal part of left pectoralis major
FJ1450M	BP11042	FMA21930	External anal sphincter
FJ1452M	BP13016	FMA13337	Left external oblique
FJ1456M	BP11068	FMA13376	Left pectoralis minor
FJ1459M	BP10981	FMA13399	Left serratus anterior
FJ1460M	BP10895	FMA13411	Left subclavius
FJ1461M	BP12015	FMA9762	Left transversus thoracis
FJ1464M	BP13043	FMA79980	Sternocostal part of left pectoralis major
FJ1471M	BP12993	FMA40121	Flexor retinaculum of left wrist
FJ1485M	BP11049	FMA37706	Left anconeus
FJ1486M	BP13119	FMA37669	Left brachialis
FJ1488M	BP11072	FMA37666	Left coracobrachialis
FJ1532M	BP11514	FMA32541	Left levator scapulae
FJ1536M	BP11133	FMA13382	Left rhomboid major
FJ1537M	BP10940	FMA13384	Left rhomboid minor
FJ1654M	BP13274	FMA50030	Left anterior cerebral artery
FJ1656M	BP11048	FMA50544	Anterior inferior cerebellar artery
FJ1658M	BP13107	FMA50089	Left anterior choroidal artery
FJ1661M	BP13163	FMA50679	Anterior temporal branch of left lateral occipital artery
FJ1675M	BP11828	FMA50671	Left thalamogeniculate artery
FJ1677M	BP10957	FMA50685	Left splenial artery
FJ1678M	BP10957	FMA50685	Left splenial artery
FJ1680M	BP11066	FMA50681	Middle temporal branch of left lateral occipital artery
FJ1682M	BP14077	FMA4062	Left internal carotid artery
FJ1684M	BP11017	FMA50569	Lateral branch of left pontine artery
FJ1687M	BP10853	FMA50644	Left lateral occipital artery
FJ1689M	BP10857	FMA50567	Medial branch of left pontine artery
FJ1691M	BP12020	FMA50646	Left medial occipital artery
FJ1695M	BP11095	FMA49870	Left ophthalmic artery
FJ1700M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1701M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1702M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1703M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1704M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1705M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1706M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1707M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1708M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1709M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1710M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1711M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1713M	BP10833	FMA50086	Left posterior communicating artery
FJ1715M	BP13775	FMA50520	Left posterior inferior cerebellar artery
FJ1720M	BP10681	FMA50665	Left thalamoperforating artery
FJ1723M	BP12969	FMA50640	Precommunicating part of left posterior cerebral artery
FJ1725M	BP14901	FMA4066	Left vertebral artery
FJ1726M	BP13273	FMA50575	Left superior cerebellar artery
FJ1727M	BP11103	FMA50673	Left posterior medial choroidal artery
FJ3667	BP14947	FMA8491	Left tenth costal cartilage
FJ3667M	BP14962	FMA8464	Right tenth costal cartilage
FJ3668	BP14946	FMA8329	Left eighth costal cartilage
FJ3668M	BP14961	FMA8302	Right eighth costal cartilage
